image_id,address,latitude,longitude,street,city,state,country
XBGBLAXFCHLCZIHBHBNTQCCUXNCVIH,"1899-1841 Lake Lila Ln, Ann Arbor, MI 48105",42.3025,-83.7172,1899-1841 Lake Lila Ln,Ann Arbor,MI,USA
TABRPNSSUHSOKBUIPTCDOMXUTBBCUY,"1899-1841 Lake Lila Ln, Ann Arbor, MI 48105",42.3025,-83.7172,1899-1841 Lake Lila Ln,Ann Arbor,MI,USA
RDSCDQIQTPTGTZWCJJRPUJFCUFKOFQ,"1899-1841 Lake Lila Ln, Ann Arbor, MI 48105",42.3025,-83.7172,1899-1841 Lake Lila Ln,Ann Arbor,MI,USA
MDUCHGNCKCCUHPZLSTLRCYEGUMTKHA,"1899-1841 Lake Lila Ln, Ann Arbor, MI 48105",42.3025,-83.7172,1899-1841 Lake Lila Ln,Ann Arbor,MI,USA
RLLPBIUSDDCALRSNCQDDCDEFIIFGXS,"1899-1841 Lake Lila Ln, Ann Arbor, MI 48105",42.3025,-83.7172,1899-1841 Lake Lila Ln,Ann Arbor,MI,USA
OEFCXSOIEQZEGKBRKZKQEJETWJRHNV,"1899-1841 Lake Lila Ln, Ann Arbor, MI 48105",42.3025,-83.7172,1899-1841 Lake Lila Ln,Ann Arbor,MI,USA
PIHLKJOTLLDAHIQYYLGTTTTCRMFCVE,"1899-1841 Lake Lila Ln, Ann Arbor, MI 48105",42.3025,-83.7172,1899-1841 Lake Lila Ln,Ann Arbor,MI,USA
ERXNSDYORAVTDNIOKKEGAYQYEXUPLG,"Stapp Nature Area, Huron Pkwy, Ann Arbor, MI 48105",42.3087,-83.716,"Stapp Nature Area, Huron Pkwy",Ann Arbor,MI,USA
TFBTRSQKKVIVUWNQYLBWQJZFQPKDAK,"Stapp Nature Area, Huron Pkwy, Ann Arbor, MI 48105",42.3087,-83.716,"Stapp Nature Area, Huron Pkwy",Ann Arbor,MI,USA
ESJVTOEYGYFJCQEBSJRJQAXUTVJQON,"Devil's Hall Trail, Salt Flat, TX 79847",31.9024,-104.8388,Devil's Hall Trail,Salt Flat,TX,USA
HGLFUZANCUZBYARUNXXQDFEBCQYJKZ,"Morning Glory Pool, Yellowstone National Park, WY 82190",44.4756,-110.8431,Morning Glory Pool,,WY,USA
YRZTIRGHRNKPTPOPNCSZJZJXLKFDIS,"Morning Glory Pool, Yellowstone National Park, WY 82190",44.4756,-110.8431,Morning Glory Pool,,WY,USA
USAVXUBJSSFGRMQGEVTYCECMFXCBOU,"4275 Isleta Blvd SW, Albuquerque, NM 87105",35.0155,-106.6862,4275 Isleta Blvd SW,Albuquerque,NM,USA
IEIFNXQCKBNLZVMXDKYXSQIYDSQVKT,"4275 Isleta Blvd SW, Albuquerque, NM 87105",35.0155,-106.6862,4275 Isleta Blvd SW,Albuquerque,NM,USA
VIOZOIQJTKMSZIVTYAJRHFSQPRBJLG,"4275 Isleta Blvd SW, Albuquerque, NM 87105",35.0155,-106.6862,4275 Isleta Blvd SW,Albuquerque,NM,USA
SWHTDVDPJUNMWJLZBZERPRJQVACZQG,"9516 Snow Heights Cir NE, Albuquerque, New Mexico 87112",35.1089,-106.5359,9516 Snow Heights Cir NE,Albuquerque,NM,USA
KDGGIDJDWCYKBITUORXBHBFSSWPBXU,"Phoenix, Arizona",33.4458,-112.0695,,Phoenix,AL,USA
HOZSVLMOGTNQIDMJUURDAOHYZHUXPW,"Carlsbad Caverns National Park, Carlsbad, NM 88220",32.1598,-104.5414,Carlsbad Caverns National Park,Carlsbad,NM,USA
YOSOALQNJYVWJPWYRFRBKRYVMTKZZW,"Earl Crow Park, 91st St, Lubbock, TX 79423",33.514,-101.8738,"Earl Crow Park, 91st St",Lubbock,TX,USA
KLGUWXOPDXLFXTWHRRDKHSHXVKMSVP,"Earl Crow Park, 91st St, Lubbock, TX 79423",33.514,-101.8738,"Earl Crow Park, 91st St",Lubbock,TX,USA
OILSWSARLLDVIGIJOOKKNRYSKVDBCE,"Earl Crow Park, 91st St, Lubbock, TX 79423",33.514,-101.8738,"Earl Crow Park, 91st St",Lubbock,TX,USA
IHAOCDQWZOZONILMBXBLVKPVXYEGXP,"Earl Crow Park, 91st St, Lubbock, TX 79423",33.514,-101.8738,"Earl Crow Park, 91st St",Lubbock,TX,USA
NPVNFLLZQSSJNOEOSLVTJLKUTLSYUS,"Earl Crow Park, 91st St, Lubbock, TX 79423",33.514,-101.8738,"Earl Crow Park, 91st St",Lubbock,TX,USA
CKPLBFVAWCRNFODRPBBDALVQNWCXCN,"Earl Crow Park, 91st St, Lubbock, TX 79423",33.514,-101.8738,"Earl Crow Park, 91st St",Lubbock,TX,USA
DOATWXZNHCNPTCRNEYPLYRLVNORJGP,"Earl Crow Park, 91st St, Lubbock, TX 79423",33.514,-101.8738,"Earl Crow Park, 91st St",Lubbock,TX,USA
WKCLHKVKKJDGCLGHLDMSGUBKAFAEDG,"Earl Crow Park, 91st St, Lubbock, TX 79423",33.514,-101.8738,"Earl Crow Park, 91st St",Lubbock,TX,USA
EDPXYFMJNGBLEAYLZTARSQOFUFJXWK,"Earl Crow Park, 91st St, Lubbock, TX 79423",33.514,-101.8738,"Earl Crow Park, 91st St",Lubbock,TX,USA
IPXXPIWLXANSEIEIKOBOHGGEYYVSEJ,"Earl Crow Park, 91st St, Lubbock, TX 79423",33.514,-101.8738,"Earl Crow Park, 91st St",Lubbock,TX,USA
EAISQOLHNTTOTQDNJCDFRLSGANHYXK,"Silver Park, Ann Arbor, MI 48105",42.2989,-83.7116,Silver Park,Ann Arbor,MI,USA
ARVZBLPRSQSJPDBZHPZEFIYKHDKJDL,"1515 Dhu Varren Rd, Ann Arbor, MI 48105",42.317,-83.7311,1515 Dhu Varren Rd,Ann Arbor,MI,USA
CPAOUGLOBMQFVZWNHTGYQPECGWXSSF,"Nethers Rd, Etlan, VA 22719",38.5624,-78.2665,Nethers Rd,Etlan,VA,USA
OVKZCINBSONVWUILTCCHNZSIHWXQGC,"3225-3203 91st St, Lubbock, TX 79423",33.5123,-101.884,3225-3203 91st St,Lubbock,TX,USA
VPYBPHVELKVRFIDROEDMXOABULJUJN,"Department of Civil and Environmental Engineering, Lubbock, TX 79415",33.5874,-101.8737,Department of Civil and Environmental Engineering,Lubbock,TX,USA
SWIQZBPKIGTZEUFZULSMVJBPXFLTBY,"H4PG+G4, Lubbock, TX 79415",33.587,-101.8746,H4PG+G4,Lubbock,TX,USA
TOEMNZWZRKYMGKSOTZZNZDBHPNXOLO,"H4PG+G4, Lubbock, TX 79415",33.587,-101.8746,H4PG+G4,Lubbock,TX,USA
SAUDMGJREHFFIWMKEZKVPJWUMVXLIP,"H4PG+G4, Lubbock, TX 79415",33.587,-101.8746,H4PG+G4,Lubbock,TX,USA
XSJTYOOIBECMAXQAAFLDASJULLBBCP,"450 Jane Stanford Way, Stanford, CA 94305",37.4289,-122.17,450 Jane Stanford Way,Stanford,CA,USA
GVWZMFFNTJLQXESPLWKEQQIUZZDGAP,"450 Jane Stanford Way, Stanford, CA 94305",37.4289,-122.17,450 Jane Stanford Way,Stanford,CA,USA
CKWOJFLYDMWBRZHDRXPXFTJKEVQTUB,"9247-9201 Elgin Ave, Lubbock, TX 79423",33.5114,-101.8787,9247-9201 Elgin Ave,Lubbock,TX,USA
YMTTVELQYVXPPWAXKATEDPGIKKKPEE,"9247-9201 Elgin Ave, Lubbock, TX 79423",33.5114,-101.8787,9247-9201 Elgin Ave,Lubbock,TX,USA
CIUGTSVVHINIVVOGRGLJOZTZGNBTPW,"33303 Headquarters Rd, Ontonagon, MI 49953",46.8157,-89.6248,33303 Headquarters Rd,Ontonagon,MI,USA
ZYKAOFFICTTOIVOYXJOJQUTDVAKTUJ,"1401-1559 McIntyre, Ann Arbor, MI 48105",42.3004,-83.7095,1401-1559 McIntyre,Ann Arbor,MI,USA
TXGDFJHYBPEVENZJBFKIFYRZLYAPUG,"Idalou, Texas 79329",33.6667,-101.6832,,Idalou,TX,USA
YTVOUIFIPVHKWPZFVRGMKPUCVVJLOS,"Yosemite National Park, CA",37.9472,-119.5549,Yosemite National Park,,CA,USA
TTKLYOWHQPZCNNCXWLUDQGLVFHMIUZ,"Half dome, Yosemite National Park, CA",37.7482,-119.5317,Yosemite National Park,,CA,USA
EGSJZZQWKQZOYSMQXFKZKRXZQCAQOZ,"Half dome, Yosemite National Park, CA",37.7482,-119.5317,Yosemite National Park,,CA,USA
TRNGZOASNBXIFCIFQBHHWLTPUCZWBM,"Yosemite National Park, CA",37.9472,-119.5549,Yosemite National Park,,CA,USA
IQFPPPLANKCLLOUSWBFLYULIBTNFLE,"1500 Sugar Bowl Dr, New Orleans, LA 70112",29.9526,-90.0821,1500 Sugar Bowl Dr,New Orleans,LA,USA
TJYAVQOQSCWAHEYBPQQWBVNSFOSYLC,"1500 Sugar Bowl Dr, New Orleans, LA 70112",29.9526,-90.0821,1500 Sugar Bowl Dr,New Orleans,LA,USA
BQURIYNYBFUXUHDWUHFIVVOOHSULLM,"88th St & Flint Ave, Lubbock, TX 79401",33.5162,-101.919,88th St & Flint Ave,Lubbock,TX,USA
HRXXTGRDDEDPBVSYMRXOHZAIZJIDXD,"88th St & Flint Ave, Lubbock, TX 79401",33.5162,-101.919,88th St & Flint Ave,Lubbock,TX,USA
IXMPPSANAVIWGPYBBARPCUQBBDUCGG,"88th St & Flint Ave, Lubbock, TX 79401",33.5162,-101.919,88th St & Flint Ave,Lubbock,TX,USA
CWSTQNIRDDAZZDMRHTOLGTXSKYGNYG,"88th St & Flint Ave, Lubbock, TX 79401",33.5162,-101.919,88th St & Flint Ave,Lubbock,TX,USA
GYBHPFQUNQUGPCNVXMHQXNZFCHKKIS,"88th St & Flint Ave, Lubbock, TX 79401",33.5162,-101.919,88th St & Flint Ave,Lubbock,TX,USA
CKHHCPHEAHOWBXDVUXDNKEOPFNZMSK,"88th St & Flint Ave, Lubbock, TX 79401",33.5162,-101.919,88th St & Flint Ave,Lubbock,TX,USA
AHUJCNJTNUVEDVQAXNOPTWJCTIVJVE,"88th St & Flint Ave, Lubbock, TX 79401",33.5162,-101.919,88th St & Flint Ave,Lubbock,TX,USA
DWBRTLJZKLEIIXGIKSDWCMATSFROWO,"88th St & Flint Ave, Lubbock, TX 79401",33.5162,-101.919,88th St & Flint Ave,Lubbock,TX,USA
XKJMGYMGLSKEWPJFFNLTBWRDWFPOEA,"88th St & Flint Ave, Lubbock, TX 79401",33.5162,-101.919,88th St & Flint Ave,Lubbock,TX,USA
UTKBPESNGXTXBETSUNLPWRNHSJOXVX,"88th St & Flint Ave, Lubbock, TX 79401",33.5162,-101.919,88th St & Flint Ave,Lubbock,TX,USA
YVAACGALIOYHIWIDNWJSQLMYCHLPWM,"4W23+PG Grand Canyon Village, Arizona",36.1001,-112.0928,4W23+PG Grand Canyon Village,,AL,USA
LTMWMMMFCBXGWSWYDKZQXMAQGNSPPL,"Centennial Olympic Park Dr &, Andrew Young International Blvd NW, Atlanta, GA 30313",33.7562,-84.3982,"Centennial Olympic Park Dr &, Andrew Young International Blvd NW",Atlanta,GA,USA
GLAPYCAXGAVDWCJPPRQLDTGQWCZAVV,"I-90, Willoughby Hills, OH 44094",41.5901,-81.4668,I-90,Willoughby Hills,OH,USA
BOYIUPUUBHQMZTOHGXLVCWAXXNDESV,"Crescent City Connection, New Orleans, LA 70114",29.9396,-90.0574,Crescent City Connection,New Orleans,LA,USA
ATYIQIFUSHPKCAMHIHEKSFRLLEFQGO,"CA-152, Hollister, CA 95023",37.0577,-121.0014,CA-152,Hollister,CA,USA
YSRYUPYBGZUMRKJFJAMIZOWKMVZNYT,"CA-152, Gilroy, CA 95020",37.0574,-121.0009,CA-152,Gilroy,CA,USA
OZVYQJMXAEMOBRXCLHZPGDOVVVFOWD,"93rd St, Lubbock, TX 79423",33.51,-101.9266,93rd St,Lubbock,TX,USA
WXFCMVMKNDDWPGWBLSIKNXUBHJWKGP,"9500 Gilman Dr #0422, La Jolla, CA 92093",32.8832,-117.2344,9500 Gilman Dr #0422,La Jolla,CA,USA
MXYVSTXBIAVNJFNHBCBKDLXJDOWJBD,"Leonard Field, Butte, MT 59701",46.0124,-112.5556,Leonard Field,Butte,MT,USA
BTLRSOQWRWMDBSIRQNSNMMYKDGRVZF,"48104, 1100, Baits Dr, Ann Arbor, MI 48109",42.291,-83.721,"48104, 1100, Baits Dr",Ann Arbor,MI,USA
TPKNMQTHCVKUECXWZWAOZNWBZXOLIS,"6000 Universal Blvd, Orlando, FL 32819",28.4747,-81.4652,6000 Universal Blvd,Orlando,FL,USA
AJXOMMIYZNZLLFFVSNVNOFPDBRPFKQ,"G.G. Brown Building, 2350 Hayward St, Ann Arbor, MI 48109",42.2938,-83.7137,"G.G. Brown Building, 2350 Hayward St",Ann Arbor,MI,USA
ODEAKMERADYZAMWGVVQAJXRJQGOZWH,"129 E Fremont St, Las Vegas, NV 89101",36.1561,-115.1128,129 E Fremont St,Las Vegas,NV,USA
RJZCGVCNUTDLJMPDXQEOYURMGOGIXX,"121 Baker St NW, Atlanta, GA 30313",33.7636,-84.3941,121 Baker St NW,Atlanta,GA,USA
UYENQXRKTVPCXBNDJVGWSJGGTBRQTZ,"121 Baker St NW, Atlanta, GA 30313",33.7636,-84.3941,121 Baker St NW,Atlanta,GA,USA
JGWULCOENJISNUFRBURYCXNPICWDJQ,"121 Baker St NW, Atlanta, GA 30313",33.7636,-84.3941,121 Baker St NW,Atlanta,GA,USA
ZNZFKSBTKVJIZSKCTQBDZMABDXMOMB,"100 Briarwood Cir, Ann Arbor, MI 48108",42.2411,-83.7461,100 Briarwood Cir,Ann Arbor,MI,USA
XHGPMJRYQHFLAWPFNBWLOORJCLBTAY,"1599-1401 Beal Ave, Ann Arbor, MI 48105",42.2966,-83.7123,1599-1401 Beal Ave,Ann Arbor,MI,USA
TYNGGTZJTCPLSGCLQDLQVIKWSGTHHA,"11901 Pike Rd, Freedom, NY 14065",42.5191,-78.1986,11901 Pike Rd,Freedom,NY,USA
JLHHGYWKMOMHZEWAITQEYOGPXXMLIB,"208-200 E 7th St, Tempe, AZ 85281",33.4244,-111.9361,208-200 E 7th St,Tempe,AZ,USA
TDJKXAVHGMSFFZPHZXEASWDBPPNARY,"Alcatraz Island, San Francisco, CA 94133",37.8275,-122.4229,Alcatraz Island,San Francisco,CA,USA
WCJGOPHUUUJBSZECXMWVEGBPUNAZNI,"201 World Wy, Los Angeles, CA 90045",33.9451,-118.4025,201 World Wy,Los Angeles,CA,USA
EQOTDJDWIHAUMNWSREOYPVZXFALAMY,"San Luis Reservoir, Hollister, CA 95023",37.0686,-121.1103,San Luis Reservoir,Hollister,CA,USA
GKLVVLJYTTYNULWKTZNLFICJIIVNNU,"W Terminal Dr, Salt Lake City, UT 84122",40.781,-111.9914,W Terminal Dr,Salt Lake City,UT,USA
DQJIOWFRXFHMXNHNOKASNJBJGFVKBJ,"The Gateway Arch, St. Louis, MO 63102",38.6258,-90.1867,The Gateway Arch,St. Louis,MO,USA
UEXIIFTBYEHRDNSYTTKGNFVRVUMIRZ,"The Gateway Arch, St. Louis, MO 63102",38.6258,-90.1867,The Gateway Arch,St. Louis,MO,USA
UVSPTMWBZCOKCSPUOVOYWNUMVIZHBT,"The Gateway Arch, St. Louis, MO 63102",38.6258,-90.1867,The Gateway Arch,St. Louis,MO,USA
VXIUNMVYBSGKGVZQSYROJQJKJMNXFI,"The Gateway Arch, St. Louis, MO 63102",38.6258,-90.1867,The Gateway Arch,St. Louis,MO,USA
OMGPWBLCOOTGPLWRJJGYHEJTSSAJXI,"88th St & Flint Ave, Lubbock, TX 79401",33.5161,-101.9185,88th St & Flint Ave,Lubbock,TX,USA
PHDKVZWCIGIZOTVEXCTSSDLNNWRUNY,"93rd St, Lubbock, TX 79423",33.5101,-101.9264,93rd St,Lubbock,TX,USA
BOHMRFPIWDCYDDECLRVUSMSYNHUGGM,"323 Terrace St SE, Albuquerque, NM 87106",35.0791,-106.6253,323 Terrace St SE,Albuquerque,NM,USA
LMPCRBOSMQFQJCJGGQNKFWWHQUYXKE,"Centennial Olympic Park, 265 Park Ave W NW, Atlanta, GA 30313, USA",33.7614,-84.3933,"Centennial Olympic Park, 265 Park Ave W NW, Atlanta",Atlanta,GA,USA
UCEJWPPYOAVPMGGMFBEGFPVVUSWUFZ,"State Farm Arena 1 State Farm Drive Atlanta, GA 30303, USA",33.758,-84.3942,State Farm Arena 1 State Farm Drive Atlanta,Atlanta,GA,USA
CQFGIFNYKPPSKWXTHUDNPSJSXBDWKK,"World of Coca-Cola, 121 Baker Street NW, Atlanta, GA 30313, USA",33.7632,-84.3918,"World of Coca-Cola, 121 Baker Street NW, Atlanta",Atlanta,GA,USA
YTZGCJNOZMKZGRZRHNAWKHYLHCPDBP,"World of Coca-Cola, 121 Baker Street NW, Atlanta, GA 30313, USA",33.7632,-84.3918,"World of Coca-Cola, 121 Baker Street NW, Atlanta",Atlanta,GA,USA
HJSWJZYFTQXPSTKGAMQHNGHQXWFKXG,"Centennial Olympic Park, 265 Park Ave W NW, Atlanta, GA 30313, USA",33.7611,-84.3931,"Centennial Olympic Park, 265 Park Ave W NW, Atlanta",Atlanta,GA,USA
ZQEVROGBGJQZFTXMEVMDWQCXABZRJN,"Northside Dr NW, Atlanta, GA 30313, USA",33.8394,-84.4082,"Northside Dr NW, Atlanta",Atlanta,GA,USA
TBSSLPIEKXFJICNVXSJHRWYCMDGWFD,"Centennial Olympic Park Visitor Center, 265 Park Ave W NW, Atlanta, GA 30313, USA",33.7612,-84.393,"Centennial Olympic Park Visitor Center, 265 Park Ave W NW, Atlanta",Atlanta,GA,USA
OIJUVRKQFQRPJJEUMJUGVVWJJWMOSY,"Marietta Street NW, Atlanta, GA 30313, USA",33.7683,-84.3973,"Marietta Street NW, Atlanta",Atlanta,GA,USA
OQOYWEEGTFZSEWXZOOENOEMNFQAINI,"Georgia World Congress Center, 285 Andrew Young International Blvd NW, Atlanta, GA 30313, USA",33.7591,-84.3966,"Georgia World Congress Center, 285 Andrew Young International Blvd NW, Atlanta",Atlanta,GA,USA
PJDXQRRTVNDJVEIZUFZBLKKCLPZFJG,"Pemberton Place, 126 Ivan Allen Jr Blvd NW, Atlanta, GA 30308, USA",33.7642,-84.3934,"Pemberton Place, 126 Ivan Allen Jr Blvd NW, Atlanta",Atlanta,GA,USA
HEALGWNXZPDYPWLPBYQCSKCFGFSTOO,"Pemberton Place, 126 Ivan Allen Jr Blvd NW, Atlanta, GA 30308, USA",33.7642,-84.3934,"Pemberton Place, 126 Ivan Allen Jr Blvd NW, Atlanta",Atlanta,GA,USA
QZQPXOIYLPSRFCHWOMLURRELNJMIUJ,"Karasuma-dori Shichijo-sagaru, Shimogyo Ward, Kyoto, 600-8216, Japan",34.9882,135.7595,"Karasuma-dori Shichijo-sagaru, Shimogyo Ward, Kyoto",Kyoto,Shimogyo,Japan
SMSYNXFWCMAVEEERFHTNXBLOOVDHAY,"Ohatsu Tenjin-dori Shopping Street, 1 Chome-7 Sonezaki, Kita Ward, Osaka, 530-0057, Japan",34.7,135.5004,"Ohatsu Tenjin-dori Shopping Street, 1 Chome-7 Sonezaki, Kita Ward, Osaka",Kyoto,Shimogyo,Japan
TTDJDMVQRQSWQEOEXCIPMUNFSDRQFE,"Yasaka Shrine, 625 Gionmachi Kitagawa, Higashiyama Ward, Kyoto, 605-0073, Japan",35.0044,135.7795,"Yasaka Shrine, 625 Gionmachi Kitagawa, Higashiyama Ward, Kyoto",Kyoto,Shimogyo,Japan
EDFYAYAZHNWXERYZCETBBMWZAOWXVW,"Yasaka Shrine, 625 Gionmachi Kitagawa, Higashiyama Ward, Kyoto, 605-0073, Japan",35.0044,135.7795,"Yasaka Shrine, 625 Gionmachi Kitagawa, Higashiyama Ward, Kyoto",Kyoto,Shimogyo,Japan
TDNEVYEWKJHWTLSYEGQVWKDCJVFURA,"Hōkan-ji Temple, 388 Yasaka Kamimachi, Higashiyama Ward, Kyoto, 605-0827, Japan",34.9996,135.7807,"Hōkan-ji Temple, 388 Yasaka Kamimachi, Higashiyama Ward, Kyoto",Kyoto,Shimogyo,Japan
UXMVDTYVGFNKMZPYMLUTLBCURAOSCF,"Sannenzaka, Kiyomizu 3-chome, Higashiyama Ward, Kyoto, 605-0862, Japan",34.9971,135.7804,"Sannenzaka, Kiyomizu 3-chome, Higashiyama Ward, Kyoto",Kyoto,Shimogyo,Japan
VDWYAJEOCBYZJQBFBMDZLYSPOSAUYA,"Kiyomizu-dera Temple, 294 Kiyomizu 1-chome, Higashiyama Ward, Kyoto, 605-0862, Japan",34.9952,135.7845,"Kiyomizu-dera Temple, 294 Kiyomizu 1-chome, Higashiyama Ward, Kyoto",Kyoto,Shimogyo,Japan
VTZFXQCGTUCMFXIWGWETAQOJFUDMAE,"Niōmon Gate — Kiyomizu-dera Temple, 294 Kiyomizu 1-chome, Higashiyama Ward, Kyoto, 605-0862, Japan",34.9961,135.7832,"Niōmon Gate — Kiyomizu-dera Temple, 294 Kiyomizu 1-chome, Higashiyama Ward, Kyoto",Kyoto,Shimogyo,Japan
MVDTRAMZCTQPMOLBHOQYZCRPMJMRYC,"Gionmachi Minamigawa, Higashiyama Ward, Kyoto, 605-0074, Japan",35.0029,135.7761,"Gionmachi Minamigawa, Higashiyama Ward, Kyoto",Kyoto,Shimogyo,Japan
UPXCHBNTHFILTNJXZQDQJZHSNFRBEB,"63-2 Fukakusainarinakanocho, Fushimi Ward, Kyoto, Japan 612-0807",34.9688,135.7709,"63-2 Fukakusainarinakanocho, Fushimi Ward",Kyoto,Shimogyo,Japan
XVDKDOYGZJFRZQBJEGBXUJVTQKJCIO,"Fushimi Inari Taisha, 68 Fukakusa Yabunouchicho, Fushimi Ward, Kyoto, 612-0882, Japan",34.9682,135.7815,"Fushimi Inari Taisha, 68 Fukakusa Yabunouchicho, Fushimi Ward, Kyoto",Kyoto,Shimogyo,Japan
LQNVCMPEPBOVMLDATUHCJVVRYYCQMB,"Shiro Dai Inari Daimyōjin, 68 Fukakusa Yabunouchicho, Fushimi Ward, Kyoto, 612-0882, Japan",34.9682,135.7815,"Shiro Dai Inari Daimyōjin, 68 Fukakusa Yabunouchicho, Fushimi Ward, Kyoto",Kyoto,Shimogyo,Japan
XMUBGQDQKTQJHIXLLLYFWAITIQLAPP,"Osaka Castle, 1-1 Osakajo, Chuo Ward, Osaka, 540-0002, Japan",34.6882,135.5262,"Osaka Castle, 1-1 Osakajo, Chuo Ward, Osaka",Kyoto,Shimogyo,Japan
QIMSXBCQTZDJRJWHDRFWTKADHWPIHL,"Northwestern University Lakefill, Campus Drive, Evanston, IL 60208, USA",42.0528,-87.6711,"Northwestern University Lakefill, Campus Drive, Evanston",Evanston,IL,USA
XYNQSAOBKMABYNJJDDJIUMMDXRVRZZ,"Dotonbori, Chuo Ward, Osaka, 542-0071, Japan",34.6697,135.5039,"Dotonbori, Chuo Ward, Osaka",Osaka,Chuo,Japan
GQSMWEDADNNKIAVQLGUVWMZVCGVKMY,"Chicago Riverwalk, 435 E, Chicago Riverwalk, Chicago, IL 60601",41.8894,-87.6217,"Chicago Riverwalk, 435 E, Chicago Riverwalk",Chicago,IL,USA
ZTOXMEIHOBBEYVSZZZDYNBIXVAQUGB,"Azumabashi, Sumida-ku, Tokyo, 130-0001",35.7098,139.8028,"Azumabashi, Sumida-ku",Tokyo,,Japan
GCMKJXKHBFGASAPKGQICNEWRWTUQSR,"2-3-1 Asakusa, Taito City, Tokyo 111-0032, Japan",35.7142,139.7969,"2-3-1 Asakusa, Taito City",Tokyo,,Japan
INWBNLXQZPVMOEQZNMUCWANROMIPXR,"1-36-3 Asakusa, Taito City, Tokyo 111-0032, Japan",35.7132,139.7968,"1-36-3 Asakusa, Taito City",Tokyo,,Japan
YCNCORDUKXHBFCYACAFAQNGFCJAPMI,"Enshoji, 4 Chome-12-9 Tsukiji, Chuo City, Tokyo 104-0045, Japan",35.6663,139.7714,"Enshoji, 4 Chome-12-9 Tsukiji, Chuo City",Tokyo,,Japan
TVGNLIVZQEDPIGOERBAHCXWKELKSKY,"6-35 Jingumae, Shibuya City, Tokyo 150-0001, Japan",35.6693,139.7053,"6-35 Jingumae, Shibuya City",Tokyo,,Japan
XYIHXFDNXKFCYPJRUISFYSELQYNQRY,"Kabukicho Ichiban-gai, Kabukicho, Shinjuku-ku, Tokyo, 160-0021",35.6956,139.7029,"Kabukicho Ichiban-gai, Kabukicho, Shinjuku-ku",Tokyo,,Japan
