image_id,name,address,gmap_id,description,latitude,longitude,category,avg_rating,num_of_reviews,price,hours,MISC,relative_results,url,category_list,street,city,state
19_0x8886028a4c370dd9_0x37a7b8832e3a0d54,Big Al's Inc,"Big Al's Inc, 2108 14th Ave, Tuscaloosa, AL 35401",0x8886028a4c370dd9:0x37a7b8832e3a0d54,,33.1924972,-87.5561447,['Bar'],4.2,118,$,"[['Monday', '2PM–2AM'], ['Tuesday', '2PM–2AM'], ['Wednesday', '2PM–2AM'], ['Thursday', '2PM–2AM'], ['Friday', '2PM–2AM'], ['Saturday', '2PM–2AM'], ['Sunday', 'Closed']]","{'Service options': ['Delivery'], 'Highlights': ['Bar games', 'Fast service', 'Great beer selection', 'Great cocktails', 'Live music', 'Sports'], 'Accessibility': ['Wheelchair accessible entrance'], 'Offerings': ['Alcohol', 'Beer', 'Cocktails', 'Dancing', 'Happy hour drinks', 'Hard liquor', 'Wine'], 'Atmosphere': ['Casual', 'Cozy'], 'Crowd': ['Groups']}","['0x888602ec69343131:0x5639992039cf046d', '0x888602e95bb93657:0xf87b76a5422486e2', '0x8886028bc74ac31b:0x19c55fb96837d51', '0x8886029673526e59:0x38bc6e614791429b', '0x8886031211ffaae3:0x9634c965b4eef9a6']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x8886028a4c370dd9:0x37a7b8832e3a0d54?authuser=-1&hl=en&gl=us,['bar'],"Big Al's Inc, 2108 14th Ave",Tuscaloosa,AL
22_0x888918a18e703db1_0xe361e2fe8c292f3d,Ed and Company Hair & Nail Studio,"Ed and Company Hair & Nail Studio, 3081 Lorna Rd, Birmingham, AL 35216",0x888918a18e703db1:0xe361e2fe8c292f3d,,33.4025971,-86.8035479,"['Beauty salon', 'Hair salon']",5.0,24,,"[['Monday', '9AM–7PM'], ['Tuesday', '9AM–7PM'], ['Wednesday', '9AM–7PM'], ['Thursday', '9AM–5PM'], ['Friday', '9AM–7PM'], ['Saturday', '9AM–5PM'], ['Sunday', 'Closed']]","{'Health & safety': ['Appointment required'], 'Accessibility': ['Wheelchair accessible entrance'], 'Planning': ['Appointments recommended']}","['0x888918a03ed1a50f:0xe538c37d3628f234', '0x8889226ac10e243b:0x61489f69c0a89944', '0x8889226ad9cda729:0x493dc1d956227a62', '0x888918a6b46006b9:0xc9319d0212302863', '0x8889221533f73c97:0xbcea3e4f2c17cf4c']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x888918a18e703db1:0xe361e2fe8c292f3d?authuser=-1&hl=en&gl=us,"['beauty salon', 'hair salon']","Ed and Company Hair & Nail Studio, 3081 Lorna Rd",Birmingham,AL
25_0x888ccc2458d96bd1_0xfab9ec83ca50efec,Phenix City Parks and Recreation,"Phenix City Parks and Recreation, 1500 Airport Rd, Phenix City, AL 36867",0x888ccc2458d96bd1:0xfab9ec83ca50efec,,32.499249,-85.0156476,"['Park', 'Tourist attraction']",3.9,18,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}","['0x888ccc3b46f54885:0xb554a6d93a22f5db', '0x888ccd8a96d9db33:0x9117d6b9391f415e', '0x888ccdbc178f85df:0x15c27884d7630e75', '0x888ccc24c7a15d17:0x7affa63a553da356', '0x888ccd72776d9e35:0x6629a0d0b30d81ec']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x888ccc2458d96bd1:0xfab9ec83ca50efec?authuser=-1&hl=en&gl=us,"['park', 'tourist attraction']","Phenix City Parks and Recreation, 1500 Airport Rd",Phenix City,AL
26_0x888e3db994e8f891_0x40c1e2d532d1caa9,Beeland Park,"Beeland Park, 1018 E Commerce St, Greenville, AL 36037",0x888e3db994e8f891:0x40c1e2d532d1caa9,,31.8295035,-86.6091338,"['Park', 'Tourist attraction']",4.0,78,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}","['0x888e3c6513917359:0x67c3ea2ad20d52e0', '0x888e38ee3345f3df:0x1bb6876dd899b1f', '0x888e3c569b7d2bd1:0xe05c622e1c55f152', '0x888e077b36dff00f:0x954f0fc80738e3d8', '0x888e242fe8034daf:0x8d1e2ef7cc7020e1']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x888e3db994e8f891:0x40c1e2d532d1caa9?authuser=-1&hl=en&gl=us,"['park', 'tourist attraction']","Beeland Park, 1018 E Commerce St",Greenville,AL
27_0x889a4fdbbf79e4b3_0xe9ccace0dbcc46f,Cooper Riverside Park,"Cooper Riverside Park, 101 S Water St, Mobile, AL 36602",0x889a4fdbbf79e4b3:0xe9ccace0dbcc46f,"This 3-acre park along the Mobile River has outdoor sculptures, paved walking paths & benches.",30.6904317,-88.03759,"['Park', 'Tourist attraction']",4.5,313,,"[['Saturday', '7AM–7PM'], ['Sunday', '7AM–7PM'], ['Monday', '7AM–7PM'], ['Tuesday', '7AM–7PM'], ['Wednesday', '7AM–7PM'], ['Thursday', '7AM–7PM'], ['Friday', '7AM–7PM']]","{'Accessibility': ['Wheelchair accessible entrance', 'Wheelchair accessible parking lot'], 'Amenities': ['Good for kids']}","['0x889a4e01de74444b:0xe0d1f857828999f6', '0x889a4de0a7174d31:0xe2bbb6802cf7763d', '0x889a4de74ac117cf:0xe2eecbd964083cd', '0x889a4c162a29bfe9:0xe971be75f23529a2', '0x889a4de26b710679:0xff43f2904169bf01']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x889a4fdbbf79e4b3:0xe9ccace0dbcc46f?authuser=-1&hl=en&gl=us,"['park', 'tourist attraction']","Cooper Riverside Park, 101 S Water St",Mobile,AL
28_0x88891b8e6b969563_0x969314b5f8580df8,Kelly Ingram Park,"Kelly Ingram Park, 500 17th St N, Birmingham, AL 35203, United States",0x88891b8e6b969563:0x969314b5f8580df8,Historic 4-acre park with sculptures & monuments commemorating the civil rights movement.,33.5163326,-86.8134777,"['Park', 'Tourist attraction']",4.5,806,,"[['Sunday', '8AM–8PM'], ['Monday', '8AM–8PM'], ['Tuesday', '8AM–8PM'], ['Wednesday', '8AM–8PM'], ['Thursday', '8AM–8PM'], ['Friday', '8AM–8PM'], ['Saturday', '8AM–8PM']]","{'Accessibility': ['Wheelchair-accessible car park', 'Wheelchair-accessible entrance'], 'Amenities': ['Good for kids']}","['0x88891b8e803768cd:0x926656c6bbb6b76', '0x88891bd90950f017:0x4a5843a1e1144cf', '0x88891bed2acefd0d:0x398bcd85b0889d19', '0x88891b8e7ae0fcfb:0xab1e57069bc43488', '0x88891034c1a099ad:0x2b233c9fb8b23681']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88891b8e6b969563:0x969314b5f8580df8?authuser=-1&hl=en&gl=kr,"['park', 'tourist attraction']","Kelly Ingram Park, 500 17th St N, Birmingham",AL 35203,
29_0x88892608c1b30699_0x4680e0a90a036b0b,Alabaster Ingress Mission,"Alabaster Ingress Mission, 1100 7th St SW, Alabaster, AL 35007",0x88892608c1b30699:0x4680e0a90a036b0b,,33.231279,-86.8259057,['Park'],2.8,5,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}","['0x8889260b007d9ec5:0xee9e40702b142601', '0x88892fb81478eef1:0xcd6b13a56bf5f62a', '0x888928a76247bf85:0xab6a698684d16146', '0x888921335826f8e1:0x3dea0da8ca14711f', '0x888928b7103ca76f:0x1a5cb0349937e39a']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x88892608c1b30699:0x4680e0a90a036b0b?authuser=-1&hl=en&gl=us,['park'],"Alabaster Ingress Mission, 1100 7th St SW",Alabaster,AL
30_0x8888a7ba4b6029a9_0xa6e2d987f573e81d,Phelps Activity Center,"Phelps Activity Center, 2200 Rock Quarry Dr, Tuscaloosa, AL 35406",0x8888a7ba4b6029a9:0xa6e2d987f573e81d,Recreational center with an indoor gym & a lakeside park with a playground & picnic area.,33.2646514,-87.5101718,"['Tourist attraction', 'Park']",4.6,95,,"[['Sunday', 'Closed'], ['Monday', '9AM–7PM'], ['Tuesday', '9AM–7PM'], ['Wednesday', '9AM–7PM'], ['Thursday', '9AM–7PM'], ['Friday', '9AM–7PM'], ['Saturday', '9AM–7PM']]","{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}","['0x888602c2bf90233d:0x141f8ad446d660d7', '0x8888a6edf74c9f13:0x1db1a06028edab86', '0x8888a772049d80d7:0x250aed2dee6167e3', '0x8888c4504c6fb03b:0x5f948dd63f3bbf78', '0x888603543a52ee83:0x17e6b1719c789a8d']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x8888a7ba4b6029a9:0xa6e2d987f573e81d?authuser=-1&hl=en&gl=us,"['tourist attraction', 'park']","Phelps Activity Center, 2200 Rock Quarry Dr",Tuscaloosa,AL
31_0x888c578acadfcdfd_0x594dc528c7c779c7,Tuskegee Lookout Tower,"Tuskegee Lookout Tower, Tuskegee, AL 36083",0x888c578acadfcdfd:0x594dc528c7c779c7,,32.459860899999995,-85.6230073,"['Tourist attraction', 'Telecommunications']",3.8,5,,,,"['0x888c49e9a7994353:0xb0e6420c65172f8e', '0x888c6e127ffb49eb:0x750861b5246cf2b9', '0x888c50c2ea1e508f:0x7f1515b69d03ea1e', '0x888c50d6c2fa0223:0xfcde8be94f8a2c27', '0x888c933bc4e74ff5:0x353c6c8ab7becd03']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x888c578acadfcdfd:0x594dc528c7c779c7?authuser=-1&hl=en&gl=us,"['tourist attraction', 'telecommunications']",Tuskegee Lookout Tower,Tuskegee,AL
32_0x888ef07fc86283a7_0x19cb48ec3b4bd77,Autauga County Sunflower Field,"Autauga County Sunflower Field, 3301 Hwy 14 West, Autaugaville, AL 36003",0x888ef07fc86283a7:0x19cb48ec3b4bd77,,32.450656699999996,-86.7397561,['Tourist attraction'],4.9,158,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}","['0x888ef07fc75c361f:0x84ec58bbafe4ee0d', '0x888e8ee6cca7f34b:0x3d800d85e1ddc205', '0x888ef3d9299d6289:0x820f856fd1bf1f40', '0x888c25d1623f293b:0x4d8313f39d699fca', '0x888ec081a596127f:0x91787a2fb334951b']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x888ef07fc86283a7:0x19cb48ec3b4bd77?authuser=-1&hl=en&gl=us,['tourist attraction'],"Autauga County Sunflower Field, 3301 Hwy 14 West",Autaugaville,AL
33_0x888c26fa1f24946b_0xd79379d53717245f,Wetumpka Civic Center,"Wetumpka Civic Center, 3609210, 410 S Main St, Wetumpka, AL 36092",0x888c26fa1f24946b:0xd79379d53717245f,,32.5325,-86.2075,['Tourist attraction'],4.5,206,,,"{'Accessibility': ['Wheelchair accessible entrance'], 'Amenities': ['Good for kids']}","['0x888c26f019d9df7d:0x1d97d27a7462f8ff', '0x888c23706ebc2611:0x3b37e47b483d55ec', '0x888c20d2aa7f5f0f:0x5bc4f403452b5bee', '0x888e9b45a2d20dd5:0x48aa0d64a8f9eb24', '0x888c26e6b2899bcf:0x385fa401366ff622']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x888c26fa1f24946b:0xd79379d53717245f?authuser=-1&hl=en&gl=us,['tourist attraction'],"Wetumpka Civic Center, 3609210, 410 S Main St",Wetumpka,AL
34_0x88896d6f69f1f073_0x4b1ca7bd31a0eedb,Lookout,"Lookout, 55530 AL-25, Leeds, AL 35094",0x88896d6f69f1f073:0x4b1ca7bd31a0eedb,,33.4807365,-86.5415246,['Tourist attraction'],4.5,4,,"[['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours']]",{'Amenities': ['Good for kids']},,https://www.google.com/maps/place//data=!4m2!3m1!1s0x88896d6f69f1f073:0x4b1ca7bd31a0eedb?authuser=-1&hl=en&gl=us,['tourist attraction'],"Lookout, 55530 AL-25",Leeds,AL
35_0x889a4da23aa41a49_0x93cf5d3ff6821b78,Express,"Express, 3277 Joe Treadwell Dr, Mobile, AL 36606",0x889a4da23aa41a49:0x93cf5d3ff6821b78,Fashion chain supplying contemporary house-label clothing & accessories for day & night.,30.673843,-88.122783,"['Clothing store', 'Jeans shop', 'Dress store', 'Fashion accessories store', ""Men's clothing store"", 'Outlet store', 'Sunglasses store', 'T-shirt store', ""Women's clothing store"", 'Work clothes store']",4.1,45,$$,"[['Sunday', '12–5:30PM'], ['Monday', '10AM–9PM'], ['Tuesday', '10AM–9PM'], ['Wednesday', '10AM–9PM'], ['Thursday', '10AM–9PM'], ['Friday', '10AM–9PM'], ['Saturday', '10AM–9PM']]","{'Service options': ['In-store shopping', 'Delivery'], 'Accessibility': ['Wheelchair accessible elevator', 'Wheelchair accessible entrance'], 'Planning': ['Quick visit'], 'Payments': ['Debit cards', 'NFC mobile payments', 'Credit cards']}","['0x889a4da21ea4b545:0xd37bb1b31d591775', '0x889a4da225dfdc23:0x27dfe663b3da5638', '0x889a4d98ca7687df:0x1b081547a1c51dd0', '0x889a4da1855909a7:0xabf21be5a9c39871', '0x889a4da3b80fa297:0x74c9f37f73411372']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x889a4da23aa41a49:0x93cf5d3ff6821b78?authuser=-1&hl=en&gl=us,"['clothing store', 'jeans shop', 'dress store', 'fashion accessories store', ""men's clothing store"", 'outlet store', 'sunglasses store', 't-shirt store', ""women's clothing store"", 'work clothes store']","Express, 3277 Joe Treadwell Dr",Mobile,AL
